date,value,stimulating,threshold,intensity
2017-10-18 10:55:09,26,0,50,8
2017-10-18 10:55:09,25,0,50,8
2017-10-18 10:55:09,26,0,50,8
2017-10-18 10:55:09,24,0,50,8
2017-10-18 10:55:09,25,0,50,8
2017-10-18 10:55:09,24,,50,8
2017-10-18 10:55:09,24,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,24,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,23,0,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,21,,50,8
2017-10-18 10:55:09,22,0,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,2,0,50,8
2017-10-18 10:55:09,20,0,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,20,0,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,20,0,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,20,,50,8
2017-10-18 10:55:09,21,0,50,8
2017-10-18 10:55:09,20,0,50,8
2017-10-18 10:55:09,2,0,50,8
2017-10-18 10:55:09,19,0,50,8
2017-10-18 10:55:09,20,0,50,8
2017-10-18 10:55:09,19,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,19,,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,1,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,18,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,18,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,18,0,50,8
2017-10-18 10:55:10,19,,50,8
2017-10-18 10:55:10,18,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,1,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,19,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,18,,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,18,0,50,8
2017-10-18 10:55:10,1,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,17,,50,8
2017-10-18 10:55:10,16,0,50,8
2017-10-18 10:55:10,16,0,50,8
2017-10-18 10:55:10,1,0,50,8
2017-10-18 10:55:10,16,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,16,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,16,0,50,8
2017-10-18 10:55:10,17,0,50,8
2017-10-18 10:55:10,16,,50,8
2017-10-18 10:55:10,17,0,50,8
