date,value,stimulating,threshold,intensity
2017-10-17 23:29:18,25,0,100,1
2017-10-17 23:29:18,25,0,100,1
2017-10-17 23:29:18,25,0,100,1
2017-10-17 23:29:18,25,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,24,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,23,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,22,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,21,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,20,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,19,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,18,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,17,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,16,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,14,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,14,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,14,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,14,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,14,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:18,14,0,100,1
2017-10-17 23:29:18,15,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,14,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,13,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,12,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,11,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:19,10,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,10,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,9,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,7,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,7,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,7,0,100,1
2017-10-17 23:29:20,8,0,100,1
2017-10-17 23:29:20,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,8,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
2017-10-17 23:29:21,7,0,100,1
2017-10-17 23:29:21,6,0,100,1
